,subject,day,session,left_dots,right_dots,optout_type,response,accuracy,RT,block,difficulty,score
0,1,1,2,50,52,deterministic,left,1,794.4749999987835,deterministic_optout,3.0,3.0
1,1,1,2,60,50,none,right,1,733.379999997851,deterministic_optout,1.0,3.0
2,1,1,2,50,56,none,left,0,1273.0000000010475,deterministic_optout,2.0,0.0
3,1,1,2,50,64,deterministic,left,1,910.009999999602,deterministic_optout,0.0,3.0
4,1,1,2,56,50,none,right,1,1521.9550000001618,deterministic_optout,2.0,3.0
5,1,1,2,56,50,deterministic,right,1,1199.7649999975692,deterministic_optout,2.0,3.0
6,1,1,2,50,52,deterministic,optout,False,965.280000000348,deterministic_optout,3.0,2.0
7,1,1,2,50,64,deterministic,left,1,849.5849999999336,deterministic_optout,0.0,3.0
8,1,1,2,50,60,none,left,0,805.5449999992561,deterministic_optout,1.0,0.0
9,1,1,2,50,60,deterministic,left,1,755.6650000005902,deterministic_optout,1.0,3.0
10,1,1,2,50,60,deterministic,optout,False,869.7299999985262,deterministic_optout,1.0,2.0
11,1,1,2,52,50,deterministic,right,1,740.1350000000093,deterministic_optout,3.0,3.0
12,1,1,2,52,50,none,right,1,889.0649999993911,deterministic_optout,3.0,3.0
13,1,1,2,50,60,deterministic,left,1,937.8450000003796,deterministic_optout,1.0,3.0
14,1,1,2,50,60,deterministic,optout,False,1040.0699999991048,deterministic_optout,1.0,2.0
15,1,1,2,52,50,deterministic,right,1,772.0600000029663,deterministic_optout,3.0,3.0
16,1,1,2,50,64,none,left,1,836.9950000014796,deterministic_optout,0.0,3.0
17,1,1,2,60,50,deterministic,right,1,809.545000000071,deterministic_optout,1.0,3.0
18,1,1,2,52,50,none,right,1,1007.4750000021596,deterministic_optout,3.0,3.0
19,1,1,2,64,50,none,right,1,731.6549999995914,deterministic_optout,0.0,3.0
20,1,1,2,56,50,none,right,1,953.6000000007334,deterministic_optout,2.0,3.0
21,1,1,2,50,60,none,left,1,846.0500000001048,deterministic_optout,1.0,3.0
22,1,1,2,50,60,deterministic,left,1,838.7249999977939,deterministic_optout,1.0,3.0
23,1,1,2,52,50,deterministic,optout,False,878.8899999999558,deterministic_optout,3.0,2.0
24,1,1,2,50,56,none,left,1,826.9600000021455,deterministic_optout,2.0,3.0
25,1,1,2,64,50,deterministic,right,1,737.779999999475,deterministic_optout,0.0,3.0
26,1,1,2,50,52,deterministic,left,1,779.3850000016391,deterministic_optout,3.0,3.0
27,1,1,2,50,64,deterministic,left,1,760.7849999985774,deterministic_optout,0.0,3.0
28,1,1,2,64,50,none,right,1,1434.3400000034308,deterministic_optout,0.0,3.0
29,1,1,2,50,56,deterministic,left,1,616.3100000012491,deterministic_optout,2.0,3.0
30,1,1,2,50,64,deterministic,left,1,713.4850000002189,deterministic_optout,0.0,3.0
31,1,1,2,50,56,none,left,0,1048.9699999998263,deterministic_optout,2.0,0.0
32,1,1,2,56,50,deterministic,right,1,892.310000002908,deterministic_optout,2.0,3.0
33,1,1,2,60,50,none,right,0,762.3249999996915,deterministic_optout,1.0,0.0
34,1,1,2,50,60,deterministic,left,1,853.2199999972363,deterministic_optout,1.0,3.0
35,1,1,2,56,50,deterministic,right,1,786.3849999994272,deterministic_optout,2.0,3.0
36,1,1,2,50,60,none,left,1,688.2750000004307,deterministic_optout,1.0,3.0
37,1,1,2,50,60,none,left,1,588.7849999999162,deterministic_optout,1.0,3.0
38,1,1,2,64,50,none,right,1,682.6250000012806,deterministic_optout,0.0,3.0
39,1,1,2,60,50,deterministic,right,1,853.2450000020617,deterministic_optout,1.0,3.0
40,1,1,2,50,60,deterministic,left,1,561.8400000021211,deterministic_optout,1.0,3.0
41,1,1,2,50,64,deterministic,left,1,810.3599999994913,deterministic_optout,0.0,3.0
42,1,1,2,64,50,deterministic,right,1,1250.704999998561,deterministic_optout,0.0,3.0
43,1,1,2,50,64,none,left,1,709.0949999983422,deterministic_optout,0.0,3.0
44,1,1,2,50,52,deterministic,left,0,1040.8499999975902,deterministic_optout,3.0,0.0
45,1,1,2,56,50,deterministic,optout,False,828.7250000030326,deterministic_optout,2.0,2.0
46,1,1,2,50,56,deterministic,left,1,1152.1149999971385,deterministic_optout,2.0,3.0
47,1,1,2,50,52,deterministic,left,1,930.9400000020104,deterministic_optout,3.0,3.0
48,1,1,2,50,52,deterministic,left,0,984.6700000016426,deterministic_optout,3.0,0.0
49,1,1,2,52,50,deterministic,right,0,964.379999997618,deterministic_optout,3.0,0.0
50,1,1,2,50,52,deterministic,optout,False,1333.0600000008417,deterministic_optout,3.0,2.0
51,1,1,2,52,50,deterministic,right,1,784.3400000019756,deterministic_optout,3.0,3.0
52,1,1,2,50,56,none,left,1,1042.1099999985015,deterministic_optout,2.0,3.0
53,1,1,2,60,50,deterministic,right,1,903.5149999981512,deterministic_optout,1.0,3.0
